timesteps,mean_reward
2000,102.6
4000,98.92
6000,104.3
8000,98.8
10000,99.1
12000,103.7
14000,100.9
16000,102.1
18000,102.6
20000,101.1
22000,102.3
24000,96.7
26000,98.5
28000,103.7
30000,104.6
