timesteps,mean_reward
2000,71.6
4000,87.0
6000,100.8
8000,97.7
10000,101.5
12000,100.5
14000,97.1
16000,102.2
18000,102.6
20000,95.6
22000,92.6
24000,98.3
26000,96.5
28000,101.5
30000,100.8
